Regnr,Slutvärde fordonsparken Livscykelutsläpp kgCO2-ekv
YZF 336,36464
PYN 113,45974
JUB 435,44114
YLJ 847,45974
YHN 351,18098
BAP 210,31034
RSA 761,47444
YHR 669,15866
EFM 275,15278
ELW 214,47444
LXL 304,48374
CCO 411,47444
YOU 925,15434
CJJ 645,45974
YZH 793,30884
ENC 746,14630
YYL 602,36464
NRR 764,36914
EDD 689,43184
MBM 295,48374
OSF 296,46124
PYT 177,48374
PXA 837,46664
SPO 579,46514
ZDG 643,43964
YAJ 341,17726
YLJ 848,45974
MEH 907,46664
JWP 114,38624
MLU 460,16514
NWH 958,47444
WDL 341,46664
DLL 457,47444
PYC 675,44114
OYM 942,46514
AOY 256,43184
ZDG 638,43964
OHN 740,36464
YOK 586,43964
PKW832,15494
YNS 212,11915
UNW 555,36464
XGB 418,45434
DXT 991,39314
RRO 410,46514
AMF 087,47444
MUG 477,34214
CGF 303,36464
OGY 762,15278
HDZ 095,44114
GFN 682,43964
LXL 297,48374
LDG 604,18002
GHM 012,18686
PDM 013,11915
KOJ 196,47444
YHB 092,45974
SUF 425,36464
MPP 199,36914
LNO 633,50684
CUE 020,47444
PHO 018,38084
OHN 709,36464
PCR 599,44114
GJN 906,45434
YMS 019,17726
ZBR 186,43964
JBZ 827,17354
NNB 032,45434
YXJ 317,16178
YWU 348,15494
NHY 785,43184
NCP 628,46664
LKF 063,46514
LFP 790,17726
CJW 851,17726
LLP 022,16178
DAL 860,43184
WWE 458,46514
NMM 894,34214
NHW 682,47444
DGG 363,40634
NHG 452,46664
HBN 942,15062
YZH 788,30884
OJN 415,45974
JNJ 407,34214
NBK 889,45974
TFJ 722,45434
JJZ 457,44114
BUR 972,47444
WUP 587,36464
UPU 253,47444
GXM 441,45434
LXW 125,47444
BFT 770,43184
YTG 485,15494
KBM 872,15278
NLD 789,15866
NCX 218,46514
WXY 095,34214
NHG 451,46664
PON 720,34214
YZF 309,36464
NPE 897,36464
ZBG 643,16886
PBN 437,45974
FOH 365,34214
NAF 492,46514
RST 782,36464
OHZ 414,29024
CAD 481,36464
OGD 380,45284
NMN 216,45974
KJL 521,16454
BEZ 761,44114
OKG 064,37004
MDT 811,15710
POK 465,46514
NHS 172,44114
AGL 507,45434
MLT 688,44114
WDS 562,43184
BDT 024,45974
EGP 324,46514
PAF 083,18002
KUW 021,45434
LOC 635,45434
YCE 209,43424
XJP 583,17726
YBP 525,31034
YZH 792,30884
NHW 681,47444
JEA 221,43424
PWN 135,34214
MPP 479,36914
CZM 584,45434
OAU 444,46664
OWZ 412,46664
JEZ 835,15866
YRR 190,43964
NBL 139,46514
BXZ 936,16886
NBM 874,17510
TSZ 159,16982
NXG 718,46664
HHY 519,46514
PKP 730,15278
OYO 116,15338
MJO 292,47984
JXN 095,17366
BBX 923,43964
FCB 761,15866
NBF 642,46664
SJS 636,17726
MHG 178,46664
MZN 981,46124
CRH 097,45584
JPS 293,45974
PAF 473,15278
OGM 362,36464
BDD 364,34214
LKP 295,36464
YHF 725,45974
MEH 902,46664
OKX 705,36464
BBW 094,44114
LFS 205,52244
XZH 921,43964
OPZ 787,43184
HFD 108,45974
HDO 119,40634
YSA 813,16178
YZF 320,36464
EYH 851,18434
BFS 082,31574
KTY 476,34214
EFS 423,46124
NHW 669,47444
BZH 442,43184
RCW 582,44114
NHW 671,47444
KMF 634,46514
LWB 804,47444
CDY 781,44114
TUW 821,44114
BDA 649,36464
NCX 230,46514
PFF 851,31034
BPU 064,45434
SZE 836,16982
MZM 103,44114
NHW 672,47444
KHH 077,46514
MGC 535,49604
NHG 449,46664
YZF 325,36464
DAE 183,18002
UBP 509,44114
AXB 426,45434
LXL 596,43424
NOZ 377,47444
JBN 775,45974
MTC 368,16826
YWD 890,16886
NBF 643,46514
XJO 387,44114
NHG 450,46664
DTK 521,14786
NZE 686,18158
NJC 316,16550
MEY 882,17726
KNG 871,18158
CMN 250,43814
RPE 324,46514
KZC 243,48824
JCC 795,50684
MRT 074,43184
HCU 256,44114
YJS 614,15590
RKO 680,46514
LXL 291,48374
ONS 602,48374
TSE 386,43184
MYJ 831,34214
WDT 466,47444
UZP 794,31034
MUM 346,38624
YMT 661,17042
NHW 663,47444
RMR 474,39704
YTJ 749,36464
OEF 239,31034
MNW 221,15494
WEF 179,46514
FPK 009,50684
NBP 348,15866
HWU 854,17282
GHU 184,45434
MKN 765,37544
SGF 744,11915
NCX 223,46514
HDY 950,44114
YXL 429,15590
HKR 592,49214
GKO 780,34214
PJY 504,31574
LZG 409,34214
MCC 472,34214
HXK 699,49604
YXX 535,43964
LBH 369,36914
YXT 676,17726
HHN 846,19706
PZG 035,31034
YLK 178,36464
APF 478,45434
PEY 536,36464
NKW 765,34214
JMD 187,45434
JFH 066,45284
GOY 021,34214
PFZ 985,17726
ZDE 122,46514
UUS 364,46514
GOA 490,45974
HOH 068,43184
MSF 003,46664
NBA 820,47444
NWJ 120,46514
YKS 258,17726
PNU 681,46514
JSH 364,56654
CNN 077,46814
EYP 932,15494
YYL 598,36464
ACC 598,47594
GTU 734,37454
HCU 385,44114
MWS 882,45434
KZC 239,48824
MEJ 398,43574
